PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
VvRNE,3r1r2/p4k2/7R/1p3p2/4Nq2/2P2P1Q/PP2K3/8 b - - 0 34,f5e4 h3e6 f7g7 e6g6,1572,75,100,1037,endgame mate mateIn2 short,https://lichess.org/3N7pbuen/black#68
YKK1q,r4rkb/1pp4p/p2p1pqP/2PPn1p1/PP2PpP1/2NN4/4QPK1/2R2R2 w - - 4 25,f1h1 f4f3 e2f3 e5f3,1429,75,89,715,crushing fork middlegame short,https://lichess.org/OjyciXw9#49
YKK7Z,4r1k1/p1q1P2p/1p1P3r/n4pp1/2PB4/1P3B2/P3R3/2R2NK1 b - - 0 33,c7d6 f3d5 d6d5 c4d5,1448,172,38,6,crushing middlegame short,https://lichess.org/DFDabWTu/black#66
YKKOv,r2k4/5RRp/6p1/3p4/7P/6Pb/4rP1K/8 b - - 10 38,h3f5 f7f8 e2e8 f8e8 d8e8 g7g8 e8d7 g8a8,1914,75,89,189,advantage attraction endgame exposedKing skewer veryLong,https://lichess.org/PYq0LbUb/black#76
YKKZD,2R5/p4r1k/1p5p/4P1pN/2pPn3/2P4P/6P1/6K1 b - - 0 35,h7g6 g2g4 f7e7 d4d5,2701,93,93,273,crushing defensiveMove endgame quietMove short,https://lichess.org/OThIzy8q/black#70
YKKaQ,8/8/2p2kp1/1rPpRbNP/p4P2/P1K5/2P4R/1r6 w - - 6 35,h5h6 b5c5 c3d4 c5c4,1795,86,84,28,crushing endgame master short,https://lichess.org/MSkzPege#69
YKKkU,r1q2rk1/7p/pp1p2pQ/2pP1b2/2P1BR2/P2P3P/1P6/5RK1 b - - 1 26,f5e4 f4f8 c8f8 f1f8,1166,83,80,84,crushing fork middlegame short,https://lichess.org/MKy1sU87/black#52
YKKoK,1k6/8/8/p2Q3P/3P2p1/R3P1P1/5P1K/1r1q4 w - - 9 67,d5g2 b1b5 d4d5 b5d5 g2d5 d1d5,1910,75,90,252,crushing endgame long,https://lichess.org/fHYMikRV#133
YKLJc,r2qr1k1/1p3pp1/p4np1/n2p4/8/P1N1BP2/1PPQ2PP/3R1RK1 w - - 0 20,c3d5 a5c4 d2c1 f6d5,2013,85,76,44,advantage middlegame short,https://lichess.org/hIOt54aZ#39
YKLUa,2k1r3/pp4p1/2n2pP1/1q3P1p/3rB2P/1PQ5/P3R1K1/4R3 w - - 2 35,e4c6 e8e2 g2f3 b7c6,2661,102,91,525,crushing intermezzo middlegame short,https://lichess.org/3IDIyF4O#69
